OTU ,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
2643,"d:Bacteria(1.0000),p:Lentisphaerae(0.9822),c:LD1_PA34(0.9046),o:Unknown_Order_1002438(0.8063),f:Unknown_Family_1002439(0.7884),g:Unknown_Genus_1000587(0.8429)",Bacteria,Lentisphaerae,LD1_PA34,Unknown_Order_1002438,Unknown_Family_1002439,Unknown_Genus_1000587,
2644,"d:Bacteria(1.0000),p:Candidate_division_OP3(0.9685),c:Unknown_Class_1002231(0.9775),o:Unknown_Order_1002232(0.9832),f:Unknown_Family_1002233(0.9831),g:Unknown_Genus_1000354(0.9772)",Bacteria,Candidate_division_OP3,Unknown_Class_1002231,Unknown_Order_1002232,Unknown_Family_1002233,Unknown_Genus_1000354,
2645,"d:Bacteria(1.0000),p:Proteobacteria(0.5540),c:Gammaproteobacteria(0.1849),o:BD72BR169(0.0980),f:Unknown_Family_1002604(0.0312),g:Unknown_Genus_1000893(0.0014)",Bacteria,Proteobacteria,Gammaproteobacteria,BD72BR169,Unknown_Family_1002604,Unknown_Genus_1000893,
2646,"d:Archaea(0.4818),p:Woesearchaeota__DHVEG_6_(0.1179),c:Unknown_Class_1002110(0.0445),o:Unknown_Order_1002111(0.0151),f:Unknown_Family_1002112(0.0059),g:Unknown_Genus_1000128(0.0004)",Archaea,Woesearchaeota__DHVEG_6_,Unknown_Class_1002110,Unknown_Order_1002111,Unknown_Family_1002112,Unknown_Genus_1000128,
2647,"d:Bacteria(1.0000),p:Lentisphaerae(0.7992),c:Oligosphaeria(0.7631),o:Unknown_Order_1002450(0.6091),f:Unknown_Family_1002451(0.4319),g:Unknown_Genus_1000593(0.1411)",Bacteria,Lentisphaerae,Oligosphaeria,Unknown_Order_1002450,Unknown_Family_1002451,Unknown_Genus_1000593,
2648,"d:Bacteria(1.0000),p:Proteobacteria(0.8699),c:Alphaproteobacteria(0.7631),o:Rhodospirillales(0.6549),f:Rhodospirillaceae(0.4319),g:uncultured_2755(0.1411)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured_2755,
2649,"d:Bacteria(1.0000),p:Proteobacteria(0.4987),c:Alphaproteobacteria(0.2266),o:Rhodospirillales(0.1219),f:Rhodospirillaceae(0.0428),g:Tistrella(0.0014)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Tistrella,
2650,"d:Bacteria(1.0000),p:Bacteroidetes(0.4500),c:Flavobacteriia(0.1546),o:Flavobacteriales(0.0980),f:R103_B20(0.0243),g:Unknown_Genus_1000317(0.0011)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,R103_B20,Unknown_Genus_1000317,
2651,"d:Bacteria(1.0000),p:Verrucomicrobia(0.9711),c:Opitutae(0.9785),o:Puniceicoccales(0.6396),f:Puniceicoccaceae(0.4681),g:Lentimonas(0.1264)",Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Lentimonas,
2652,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Gammaproteobacteria(0.9904),o:Legionellales(0.9832),f:Coxiellaceae(0.9831),g:Rickettsiella(0.9132)",Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,
