"","OTU","SAMPLE_123257","SAMPLE_123258","SAMPLE_123259","SAMPLE_123260","SAMPLE_123261","SAMPLE_123262","SAMPLE_123263","SAMPLE_123264","SAMPLE_123265","SAMPLE_123266","SAMPLE_123267","SAMPLE_123268","SAMPLE_123269","SAMPLE_123270","SAMPLE_123271","SAMPLE_123272","SAMPLE_123273","SAMPLE_123274","SAMPLE_123276","SAMPLE_123277","SAMPLE_123278","SAMPLE_123279","SAMPLE_123280","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalSum","WatSum","SedSum","SHSum","MNSum","MJSum"
"34",35,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:NS5_marine_group(0.9756)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA,12,12,0,4,4,4
"35",36,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(0.9824),g:NS5_marine_group(0.9744)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA,12,12,0,4,4,4
"36",37,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9830),f:SAR86_clade(0.9834),g:Unknown_Genus_1000950(0.9764)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86_clade","Unknown_Genus_1000950",NA,12,12,0,4,4,4
"44",46,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Gammaproteobacteria(0.9797),o:Oceanospirillales(0.9796),f:JL_ETNP_Y6(0.5583),g:Unknown_Genus_1000942(0.4815)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL_ETNP_Y6","Unknown_Genus_1000942",NA,12,12,0,4,4,4
"52",54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9770),c:Betaproteobacteria(0.9627),o:Methylophilales(0.8343),f:Methylophilaceae(0.8344),g:OM43_clade(0.8663)","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43_clade",NA,12,12,0,4,4,4
"60",63,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rickettsiales(1.0000),f:SAR116_clade(1.0000),g:Unknown_Genus_1000731(1.0000)","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116_clade","Unknown_Genus_1000731",NA,12,12,0,4,4,4
"77",81,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9913),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9826),f:SAR86_clade(0.9838),g:Unknown_Genus_1000950(0.9753)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86_clade","Unknown_Genus_1000950",NA,12,12,0,4,4,4
"63",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:uncultured_1216(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured_1216",NA,23,12,11,8,7,8
"10",10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Flavobacteriia(0.9848),o:Flavobacteriales(0.9950),f:Flavobacteriaceae(0.9841),g:Maribacter(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter",NA,12,1,11,4,3,5
"11",11,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9931),c:Gammaproteobacteria(0.9573),o:Xanthomonadales(0.9720),f:JTB255_marine_benthic_group(0.9179),g:Unknown_Genus_1000984(0.9601)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","Unknown_Genus_1000984",NA,13,2,11,4,5,4
