"Supplemental Table 1. Assigned Prokaryotic, 16S Taxa to OTU ID",,,,,,,,,
,,,,,,,,,
,OTU,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
21,20,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Oceanospirillales(0.9832),f:SAR86_clade(0.9831),g:Unknown_Genus_1000950(0.9772)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,Unknown_Genus_1000950,NA
22,21,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Gammaproteobacteria(0.9786),o:BD7_8_marine_group(0.9796),f:Unknown_Family_1002603(0.9845),g:Unknown_Genus_1000892(0.9746)",Bacteria,Proteobacteria,Gammaproteobacteria,BD7_8_marine_group,Unknown_Family_1002603,Unknown_Genus_1000892,NA
23,22,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9841),g:Zeaxanthinibacter(0.8194)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,NA
24,23,"d:Bacteria(1.0000),p:Bacteroidetes(0.9672),c:Flavobacteriia(0.9782),o:Flavobacteriales(0.9828),f:Flavobacteriaceae(0.9836),g:Aquibacter(0.9367)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
25,24,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Gammaproteobacteria(0.9735),o:Chromatiales(0.9462),f:Granulosicoccaceae(0.9179),g:Granulosicoccus(0.9601)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus,NA
26,25,"d:Bacteria(1.0000),p:Bacteroidetes(0.9718),c:Flavobacteriia(0.9785),o:Flavobacteriales(0.9841),f:Flavobacteriaceae(0.9834),g:Polaribacter(0.6585)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
27,26,"d:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000),f:OM1_clade(1.0000),g:Candidatus_Actinomarina(0.9749)",Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,Candidatus_Actinomarina,NA
28,27,"d:Bacteria(1.0000),p:Proteobacteria(0.9560),c:Gammaproteobacteria(0.9519),o:Oceanospirillales(0.9182),f:Oceanospirillaceae(0.9075),g:Neptuniibacter(0.8194)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,NA
29,28,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Gammaproteobacteria(0.9793),o:Oceanospirillales(0.9771),f:Oceanospirillaceae(0.9803),g:Marinomonas(0.9741)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,NA
30,29,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9923),g:Muriicola(0.3044)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muriicola,NA
