"Supplemental Table 1. Assigned Prokaryotic, 16S Taxa to OTU ID",,,,,,,,,
,,,,,,,,,
,OTU,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
821,820,"d:Bacteria(1.0000),p:Bacteroidetes(0.3446),c:Sphingobacteriia(0.0942),o:Sphingobacteriales(0.0501),f:Chitinophagaceae(0.0173),g:uncultured_1252(0.0008)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured_1252,NA
822,821,"d:Bacteria(1.0000),p:Bacteroidetes(0.9718),c:Flavobacteriia(0.9788),o:Flavobacteriales(0.9843),f:Flavobacteriaceae(0.9820),g:uncultured_1216(0.9744)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,uncultured_1216,NA
823,822,"d:Bacteria(1.0000),p:Verrucomicrobia(0.7288),c:Opitutae(0.6477),o:Puniceicoccales(0.5288),f:Puniceicoccaceae(0.3412),g:Cerasicoccus(0.0386)",Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus,NA
824,823,"d:Bacteria(1.0000),p:Bacteroidetes(0.9635),c:Flavobacteriia(0.9797),o:Flavobacteriales(0.9796),f:Flavobacteriaceae(0.9845),g:Aquimarina(0.9367)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,NA
825,824,"d:Bacteria(1.0000),p:Bacteroidetes(0.3973),c:Sphingobacteriia(0.1244),o:Sphingobacteriales(0.0741),f:Saprospiraceae(0.0243),g:uncultured_1272(0.0011)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
826,825,"d:Bacteria(0.7060),p:Proteobacteria(0.1003),c:Alphaproteobacteria(0.0364),o:Rickettsiales(0.0110),f:AKIW1012(0.0047),g:Unknown_Genus_1000720(0.0003)",Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AKIW1012,Unknown_Genus_1000720,NA
827,826,"d:Bacteria(1.0000),p:Lentisphaerae(0.9731),c:R76_B128(0.9248),o:Unknown_Order_1002455(0.8343),f:Unknown_Family_1002456(0.8344),g:Unknown_Genus_1000597(0.8663)",Bacteria,Lentisphaerae,R76_B128,Unknown_Order_1002455,Unknown_Family_1002456,Unknown_Genus_1000597,NA
828,827,"d:Bacteria(1.0000),p:Acidobacteria(0.9230),c:Subgroup_22(0.8103),o:Unknown_Order_1002151(0.6943),f:Unknown_Family_1002152(0.6043),g:Unknown_Genus_1000179(0.5700)",Bacteria,Acidobacteria,Subgroup_22,Unknown_Order_1002151,Unknown_Family_1002152,Unknown_Genus_1000179,NA
829,828,"d:Bacteria(0.1727),p:Firmicutes(0.0136),c:Clostridia(0.0089),o:Clostridiales(0.0022),f:Clostridiaceae_1(0.0011),g:Candidatus_Arthromitus(0.0001)",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Candidatus_Arthromitus,NA
830,829,"d:Bacteria(1.0000),p:Chloroflexi(1.0000),c:Anaerolineae(0.9795),o:Anaerolineales(0.9847),f:Anaerolineaceae(0.9821),g:uncultured_1395(0.9764)",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured_1395,NA
831,830,"d:Bacteria(1.0000),p:Proteobacteria(0.7815),c:Gammaproteobacteria(0.6688),o:Gammaproteobacteria_Incertae_Sedis_3535(0.5288),f:Unknown_Family_3536(0.3412),g:Thiohalophilus(0.0679)",Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis_3535,Unknown_Family_3536,Thiohalophilus,NA
832,831,"d:Bacteria(1.0000),p:Proteobacteria(0.9777),c:Gammaproteobacteria(0.9789),o:Alteromonadales(0.9462),f:Shewanellaceae(0.7884),g:Shewanella(0.8429)",Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,NA
833,832,"d:Bacteria(0.9802),p:Elusimicrobia(0.3446),c:Elusimicrobia(0.1546),o:Lineage_IV(0.0262),f:Unknown_Family_1002357(0.0103),g:Unknown_Genus_1000466(0.0006)",Bacteria,Elusimicrobia,Elusimicrobia,Lineage_IV,Unknown_Family_1002357,Unknown_Genus_1000466,NA
834,833,"d:Bacteria(1.0000),p:Bacteroidetes(0.9678),c:Sphingobacteriia(0.8339),o:Sphingobacteriales(0.7223),f:Saprospiraceae(0.6043),g:uncultured_1272(0.1118)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
835,834,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Deltaproteobacteria(0.9775),o:Myxococcales(0.9832),f:Haliangiaceae(0.9845),g:Haliangium(0.9746)",Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA
836,835,"d:Bacteria(1.0000),p:Chloroflexi(0.8699),c:Ardenticatenia(0.7867),o:uncultured_1400(0.6701),f:Unknown_Family_1002246(0.5583),g:Unknown_Genus_1000376(0.4815)",Bacteria,Chloroflexi,Ardenticatenia,uncultured_1400,Unknown_Family_1002246,Unknown_Genus_1000376,NA
837,836,"d:Bacteria(1.0000),p:Proteobacteria(0.5263),c:Alphaproteobacteria(0.2266),o:SB1_18(0.0980),f:Unknown_Family_1002543(0.0312),g:Unknown_Genus_1000747(0.0014)",Bacteria,Proteobacteria,Alphaproteobacteria,SB1_18,Unknown_Family_1002543,Unknown_Genus_1000747,NA
838,837,"d:Bacteria(1.0000),p:Bacteroidetes(0.7261),c:Sphingobacteriia(0.6180),o:Sphingobacteriales(0.4935),f:Saprospiraceae(0.2733),g:Lewinella(0.0061)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella,NA
839,838,"d:Bacteria(1.0000),p:Proteobacteria(0.9560),c:Alphaproteobacteria(0.9519),o:Rhodobacterales(0.7503),f:Rhodobacteraceae(0.6964),g:uncultured_2666(0.1411)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured_2666,NA
840,839,"d:Bacteria(1.0000),p:Firmicutes(0.7315),c:Clostridia(0.6106),o:Clostridiales(0.4582),f:Lachnospiraceae(0.1934),g:Incertae_Sedis_2001(0.0176)",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Incertae_Sedis_2001,NA
841,840,"d:Bacteria(1.0000),p:Bacteroidetes(0.9968),c:Bacteroidetes_VC2_1_Bac22(0.9786),o:Unknown_Order_1002208(0.9826),f:Unknown_Family_1002209(0.9838),g:Unknown_Genus_1000261(0.9753)",Bacteria,Bacteroidetes,Bacteroidetes_VC2_1_Bac22,Unknown_Order_1002208,Unknown_Family_1002209,Unknown_Genus_1000261,NA
842,841,"d:Bacteria(1.0000),p:Proteobacteria(0.7815),c:Gammaproteobacteria(0.6180),o:Chromatiales(0.4582),f:Chromatiaceae(0.2999),g:Nitrosococcus(0.0386)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,NA
843,842,"d:Bacteria(1.0000),p:Bacteroidetes(0.9718),c:Flavobacteriia(0.9775),o:Flavobacteriales(0.9834),f:Cryomorphaceae(0.9834),g:NS10_marine_group(0.9764)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,NS10_marine_group,NA
844,843,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Deltaproteobacteria(0.9410),o:Myxococcales(0.8063),f:BIrii41(0.6504),g:Unknown_Genus_1000833(0.6585)",Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,Unknown_Genus_1000833,NA
845,844,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Alteromonadales(0.9836),f:Alteromonadaceae(0.9827),g:Paraglaciecola(0.9729)",Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,NA
846,845,"d:Bacteria(1.0000),p:Proteobacteria(0.2920),c:Deltaproteobacteria(0.1244),o:Desulfobacterales(0.0741),f:Desulfobacteraceae(0.0243),g:SEEP_SRB1(0.0008)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP_SRB1,NA
847,846,"d:Bacteria(1.0000),p:Lentisphaerae(0.5540),c:SS1_B_03_39(0.1244),o:Unknown_Order_1002459(0.0741),f:Unknown_Family_1002460(0.0243),g:Unknown_Genus_1000599(0.0011)",Bacteria,Lentisphaerae,SS1_B_03_39,Unknown_Order_1002459,Unknown_Family_1002460,Unknown_Genus_1000599,NA
848,847,"d:Bacteria(1.0000),p:Bacteroidetes(0.7992),c:Sphingobacteriia(0.6688),o:Sphingobacteriales(0.5939),f:Saprospiraceae(0.3956),g:Phaeodactylibacter(0.0140)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter,NA
849,848,"d:Bacteria(1.0000),p:Bacteroidetes(0.9757),c:Cytophagia(0.9808),o:Order_II(0.9855),f:Rhodothermaceae(0.9855),g:uncultured_1069(0.8663)",Bacteria,Bacteroidetes,Cytophagia,Order_II,Rhodothermaceae,uncultured_1069,NA
850,849,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Gammaproteobacteria(0.9627),o:Chromatiales(0.9733),f:Chromatiaceae(0.9491),g:Nitrosococcus(0.9734)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,NA
851,850,"d:Bacteria(1.0000),p:Proteobacteria(0.6371),c:Gammaproteobacteria(0.4939),o:Oceanospirillales(0.1747),f:Oleiphilaceae(0.0810),g:Oleiphilus(0.0048)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,NA
852,851,"d:Bacteria(1.0000),p:Spirochaetae(0.6924),c:Spirochaetes(0.5957),o:Spirochaetales(0.3877),f:Spirochaetaceae(0.2467),g:Spirochaeta_2(0.0140)",Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2,NA
853,852,"d:Bacteria(1.0000),p:Bacteroidetes(0.9678),c:Flavobacteriia(0.9797),o:Flavobacteriales(0.9796),f:Cryomorphaceae(0.9803),g:Fluviicola(0.8898)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,NA
854,853,"d:Bacteria(1.0000),p:Planctomycetes(0.7288),c:Planctomycetacia(0.6403),o:Planctomycetales(0.5634),f:Planctomycetaceae(0.3775),g:Planctomyces(0.0061)",Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,NA
855,854,"d:Bacteria(1.0000),p:Bacteroidetes(0.7342),c:Sphingobacteriia(0.6403),o:Sphingobacteriales(0.5634),f:Saprospiraceae(0.3594),g:uncultured_1272(0.0140)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
856,855,"d:Bacteria(1.0000),p:Proteobacteria(0.5263),c:TA18(0.2266),o:Unknown_Order_1002648(0.1483),f:Unknown_Family_1002649(0.0619),g:Unknown_Genus_1000997(0.0035)",Bacteria,Proteobacteria,TA18,Unknown_Order_1002648,Unknown_Family_1002649,Unknown_Genus_1000997,NA
857,856,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Deltaproteobacteria(0.9801),o:Myxococcales(0.9771),f:Haliangiaceae(0.9075),g:Haliangium(0.9367)",Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA
858,857,"d:Bacteria(1.0000),p:Proteobacteria(0.9603),c:Deltaproteobacteria(0.9735),o:Sh765B_TzT_29(0.8903),f:Unknown_Family_1002579(0.8971),g:Unknown_Genus_1000858(0.9132)",Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B_TzT_29,Unknown_Family_1002579,Unknown_Genus_1000858,NA
859,858,"d:Bacteria(1.0000),p:Bacteroidetes(0.9539),c:Sphingobacteriia(0.9248),o:Sphingobacteriales(0.8343),f:Chitinophagaceae(0.8344),g:uncultured_1252(0.8663)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured_1252,NA
860,859,"d:Bacteria(1.0000),p:Bacteroidetes(0.8699),c:Sphingobacteriia(0.7631),o:Sphingobacteriales(0.6549),f:Saprospiraceae(0.4500),g:uncultured_1272(0.0533)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
861,860,"d:Bacteria(1.0000),p:Bacteroidetes(0.8699),c:Cytophagia(0.8339),o:Order_II(0.7223),f:Rhodothermaceae(0.6504),g:uncultured_1069(0.0972)",Bacteria,Bacteroidetes,Cytophagia,Order_II,Rhodothermaceae,uncultured_1069,NA
862,861,"d:Bacteria(1.0000),p:Actinobacteria(0.2920),c:Coriobacteriia(0.0942),o:Coriobacteriales(0.0501),f:Coriobacteriaceae(0.0173),g:uncultured_826(0.0008)",Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,uncultured_826,NA
863,862,"d:Bacteria(1.0000),p:Proteobacteria(0.5263),c:Alphaproteobacteria(0.3335),o:Sphingomonadales(0.1483),f:Sphingomonadaceae(0.0619),g:Sphingobium(0.0022)",Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
864,863,"d:Bacteria(0.9303),p:Omnitrophica(0.6094),c:NPL_UPA2(0.4405),o:Unknown_Order_1002474(0.2539),f:Unknown_Family_1002475(0.1402),g:Unknown_Genus_1000614(0.0104)",Bacteria,Omnitrophica,NPL_UPA2,Unknown_Order_1002474,Unknown_Family_1002475,Unknown_Genus_1000614,NA
865,864,"d:Bacteria(1.0000),p:Proteobacteria(0.7638),c:Gammaproteobacteria(0.6688),o:Cellvibrionales(0.5634),f:Cellvibrionaceae(0.3775),g:uncultured_11527(0.0533)",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured_11527,NA
866,865,"d:Bacteria(1.0000),p:Lentisphaerae(0.9784),c:R76_B128(0.9573),o:Unknown_Order_1002455(0.9720),f:Unknown_Family_1002456(0.9387),g:Unknown_Genus_1000597(0.9731)",Bacteria,Lentisphaerae,R76_B128,Unknown_Order_1002455,Unknown_Family_1002456,Unknown_Genus_1000597,NA
867,866,"d:Bacteria(1.0000),p:Proteobacteria(0.9624),c:Gammaproteobacteria(0.9519),o:Cellvibrionales(0.8623),f:Spongiibacteraceae(0.6964),g:BD1_7_clade(0.6585)",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1_7_clade,NA
868,867,"d:Bacteria(1.0000),p:Chloroflexi(0.6371),c:Ardenticatenia(0.3335),o:uncultured_1400(0.2011),f:Unknown_Family_1002246(0.1002),g:Unknown_Genus_1000376(0.0061)",Bacteria,Chloroflexi,Ardenticatenia,uncultured_1400,Unknown_Family_1002246,Unknown_Genus_1000376,NA
869,868,"d:Bacteria(1.0000),p:Bacteroidetes(0.7206),c:Sphingobacteriia(0.5883),o:Sphingobacteriales(0.3524),f:Chitinophagaceae(0.1668),g:uncultured_1252(0.0140)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured_1252,NA
870,869,"d:Bacteria(0.1426),p:Proteobacteria(0.0136),c:Gammaproteobacteria(0.0089),o:Chromatiales(0.0022),f:Chromatiaceae(0.0011),g:Nitrosococcus(0.0001)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,NA
871,870,"d:Bacteria(1.0000),p:Bacteroidetes(0.8169),c:Sphingobacteriia(0.6688),o:Sphingobacteriales(0.5939),f:Saprospiraceae(0.3594),g:Phaeodactylibacter(0.0176)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter,NA
872,871,"d:Bacteria(1.0000),p:Planctomycetes(0.9738),c:OM190(0.9798),o:Unknown_Order_1002492(0.9849),f:Unknown_Family_1002493(0.9829),g:Unknown_Genus_1000622(0.9837)",Bacteria,Planctomycetes,OM190,Unknown_Order_1002492,Unknown_Family_1002493,Unknown_Genus_1000622,NA
873,872,"d:Bacteria(1.0000),p:Lentisphaerae(0.9751),c:Oligosphaeria(0.9795),o:Unknown_Order_1002450(0.9847),f:Unknown_Family_1002451(0.9821),g:Unknown_Genus_1000593(0.9829)",Bacteria,Lentisphaerae,Oligosphaeria,Unknown_Order_1002450,Unknown_Family_1002451,Unknown_Genus_1000593,NA
874,873,"d:Bacteria(1.0000),p:Proteobacteria(0.8876),c:Gammaproteobacteria(0.7396),o:Chromatiales(0.5786),f:Granulosicoccaceae(0.3956),g:Granulosicoccus(0.1118)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus,NA
875,874,"d:Bacteria(1.0000),p:Bacteroidetes(0.7462),c:Sphingobacteriia(0.6477),o:Sphingobacteriales(0.5786),f:Saprospiraceae(0.3594),g:uncultured_1272(0.0212)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
876,875,"d:Bacteria(1.0000),p:Proteobacteria(0.9724),c:Deltaproteobacteria(0.9792),o:Desulfobacterales(0.8063),f:Desulfobacteraceae(0.7884),g:Desulfobacterium(0.0825)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,NA
877,876,"d:Bacteria(1.0000),p:Bacteroidetes(0.6094),c:Sphingobacteriia(0.3870),o:Sphingobacteriales(0.2275),f:Chitinophagaceae(0.1193),g:Taibaiella(0.0048)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,NA
878,877,"d:Bacteria(1.0000),p:Proteobacteria(0.6924),c:Alphaproteobacteria(0.5474),o:Rickettsiales(0.2011),f:SM2D12(0.1002),g:Unknown_Genus_1000734(0.0061)",Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,Unknown_Genus_1000734,NA
879,878,"d:Bacteria(1.0000),p:Bacteroidetes(0.5817),c:Sphingobacteriia(0.1849),o:Sphingobacteriales(0.1219),f:Chitinophagaceae(0.0428),g:uncultured_1252(0.0022)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured_1252,NA
880,879,"d:Bacteria(1.0000),p:Proteobacteria(0.7815),c:Gammaproteobacteria(0.6477),o:Alteromonadales(0.4582),f:Pseudoalteromonadaceae(0.2201),g:Pseudoalteromonas(0.0212)",Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
881,880,"d:Bacteria(1.0000),p:Deferribacteres(0.3446),c:Deferribacteres_Incertae_Sedis_11258(0.1546),o:Unknown_Order_11259(0.0980),f:Unknown_Family_11260(0.0312),g:Caldithrix(0.0014)",Bacteria,Deferribacteres,Deferribacteres_Incertae_Sedis_11258,Unknown_Order_11259,Unknown_Family_11260,Caldithrix,NA
882,881,"d:Bacteria(1.0000),p:Proteobacteria(0.9691),c:Deltaproteobacteria(0.9775),o:Desulfobacterales(0.9834),f:Desulfobulbaceae(0.9829),g:uncultured_3151(0.9132)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,uncultured_3151,NA
883,882,"d:Bacteria(1.0000),p:Chloroflexi(0.9539),c:Ardenticatenia(0.8575),o:uncultured_1400(0.7503),f:Unknown_Family_1002246(0.6964),g:Unknown_Genus_1000376(0.7470)",Bacteria,Chloroflexi,Ardenticatenia,uncultured_1400,Unknown_Family_1002246,Unknown_Genus_1000376,NA
884,883,"d:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(0.9782),o:Acidimicrobiales(0.9828),f:Sva0996_marine_group(0.9179),g:Unknown_Genus_1000185(0.9601)",Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996_marine_group,Unknown_Genus_1000185,NA
885,884,"d:Bacteria(1.0000),p:Bacteroidetes(0.7315),c:Sphingobacteriia(0.6254),o:Sphingobacteriales(0.5288),f:Saprospiraceae(0.3231),g:Phaeodactylibacter(0.0104)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter,NA
886,885,"d:Bacteria(1.0000),p:Bacteroidetes(0.7261),c:Sphingobacteriia(0.6254),o:Sphingobacteriales(0.5288),f:Saprospiraceae(0.3231),g:Lewinella(0.0140)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella,NA
887,886,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Gammaproteobacteria(0.9046),o:HOC36(0.6943),f:Unknown_Family_1002613(0.6043),g:Unknown_Genus_1000912(0.5700)",Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,Unknown_Family_1002613,Unknown_Genus_1000912,NA
888,887,"d:Bacteria(0.3821),p:Proteobacteria(0.0476),c:Alphaproteobacteria(0.0252),o:DB1_14(0.0055),f:Unknown_Family_1002533(0.0027),g:Unknown_Genus_1000663(0.0002)",Bacteria,Proteobacteria,Alphaproteobacteria,DB1_14,Unknown_Family_1002533,Unknown_Genus_1000663,NA
889,888,"d:Bacteria(1.0000),p:Proteobacteria(0.9822),c:Gammaproteobacteria(0.9573),o:Order_Incertae_Sedis_3682(0.9182),f:Family_Incertae_Sedis_3683(0.9075),g:Marinicella(0.9367)",Bacteria,Proteobacteria,Gammaproteobacteria,Order_Incertae_Sedis_3682,Family_Incertae_Sedis_3683,Marinicella,NA
890,889,"d:Bacteria(1.0000),p:Planctomycetes(0.9877),c:Planctomycetacia(0.9842),o:Planctomycetales(0.9929),f:Planctomycetaceae(0.9940),g:Rhodopirellula(0.9731)",Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula,NA
891,890,"d:Bacteria(1.0000),p:Proteobacteria(0.9822),c:Alphaproteobacteria(0.9832),o:Rhodospirillales(0.9771),f:Rhodospirillaceae(0.9595),g:Defluviicoccus(0.9736)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,NA
892,891,"d:Bacteria(1.0000),p:Chloroflexi(0.8346),c:Caldilineae(0.6924),o:Caldilineales(0.6091),f:Caldilineaceae(0.4319),g:uncultured_1406(0.0386)",Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,uncultured_1406,NA
893,892,"d:Bacteria(1.0000),p:Spirochaetae(0.5540),c:Spirochaetes(0.3870),o:Spirochaetales(0.2275),f:Spirochaetaceae(0.1193),g:Treponema_2(0.0011)",Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema_2,NA
894,893,"d:Bacteria(1.0000),p:Bacteroidetes(0.9053),c:Flavobacteriia(0.8810),o:Flavobacteriales(0.7783),f:Flavobacteriaceae(0.6043),g:uncultured_1216(0.0386)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,uncultured_1216,NA
895,894,"d:Bacteria(1.0000),p:Proteobacteria(0.7638),c:Gammaproteobacteria(0.6924),o:Thiotrichales(0.5786),f:Thiotrichaceae(0.3775),g:Leucothrix(0.0247)",Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,NA
896,895,"d:Bacteria(1.0000),p:Bacteroidetes(0.7288),c:Sphingobacteriia(0.6254),o:Sphingobacteriales(0.5288),f:Saprospiraceae(0.3231),g:uncultured_1272(0.0176)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
897,896,"d:Bacteria(1.0000),p:Bacteroidetes(0.7638),c:Sphingobacteriia(0.6688),o:Sphingobacteriales(0.5939),f:Saprospiraceae(0.3594),g:uncultured_1272(0.0176)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
898,897,"d:Bacteria(1.0000),p:Bacteroidetes(0.7638),c:Sphingobacteriia(0.6254),o:Sphingobacteriales(0.5288),f:Saprospiraceae(0.3412),g:Lewinella(0.0140)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella,NA
899,898,"d:Bacteria(0.5316),p:Bacteroidetes(0.0344),c:Bacteroidia(0.0224),o:Bacteroidia_Incertae_Sedis_11192(0.0055),f:Prolixibacteraceae(0.0027),g:Prolixibacter(0.0002)",Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis_11192,Prolixibacteraceae,Prolixibacter,NA
900,899,"d:Bacteria(1.0000),p:Verrucomicrobia(0.9738),c:Verrucomicrobiae(0.9775),o:Verrucomicrobiales(0.9832),f:DEV007(0.9841),g:Unknown_Genus_1001046(0.9751)",Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,Unknown_Genus_1001046,NA
901,900,"d:Bacteria(1.0000),p:Proteobacteria(0.9784),c:Epsilonproteobacteria(0.9822),o:Campylobacterales(0.9758),f:Campylobacteraceae(0.9283),g:Arcobacter(0.9601)",Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,NA
902,901,"d:Bacteria(1.0000),p:Proteobacteria(0.9678),c:Deltaproteobacteria(0.9786),o:Desulfobacterales(0.9809),f:Desulfobulbaceae(0.9843),g:Desulfobulbus(0.9729)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,NA
903,902,"d:Bacteria(1.0000),p:Bacteroidetes(0.7152),c:Sphingobacteriia(0.5474),o:Sphingobacteriales(0.3172),f:Chitinophagaceae(0.1934),g:uncultured_1252(0.0176)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured_1252,NA
904,903,"d:Bacteria(1.0000),p:Planctomycetes(0.9582),c:Planctomycetacia(0.6924),o:Planctomycetales(0.6091),f:Planctomycetaceae(0.4319),g:Planctomyces(0.0679)",Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,NA
905,904,"d:Bacteria(1.0000),p:Bacteroidetes(0.9685),c:Sphingobacteriia(0.8575),o:Sphingobacteriales(0.7503),f:Saprospiraceae(0.6043),g:uncultured_1272(0.0533)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
906,905,"d:Bacteria(1.0000),p:Proteobacteria(0.4500),c:Alphaproteobacteria(0.0942),o:Rhodospirillales(0.0501),f:Rhodospirillaceae(0.0173),g:uncultured_2755(0.0008)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured_2755,NA
907,906,"d:Bacteria(1.0000),p:Proteobacteria(0.8522),c:Alphaproteobacteria(0.8575),o:DB1_14(0.6549),f:Unknown_Family_1002533(0.5123),g:Unknown_Genus_1000663(0.3930)",Bacteria,Proteobacteria,Alphaproteobacteria,DB1_14,Unknown_Family_1002533,Unknown_Genus_1000663,NA
908,907,"d:Bacteria(1.0000),p:Proteobacteria(0.9685),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9809),f:Oceanospirillaceae(0.9845),g:uncultured_3656(0.8194)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,uncultured_3656,NA
